"Indicator","PUBLISH STATES","Year","WHO region","World Bank income group","Country","Display Value","Numeric","Low","High","Comments"
"Number of deaths due to tuberculosis excluding HIV","Published","2010","Africa","Low-income","Rwanda","1300 [610-2300]","1300","610","2300",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2007","Western Pacific","High-income","Brunei Darussalam","2.5 [2.4-2.6]","2.5","2.4","2.6",
"Number of deaths due to tuberculosis excluding HIV","Published","2007","Western Pacific","High-income","Brunei Darussalam","9.6 [9.3-9.9]","9.6","9.3","9.9",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Western Pacific","High-income","Republic of Korea","5 [0.38-16]","5","0.38","16",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Europe","High-income","Monaco","3.8 [1.9-6.3]","3.8","1.9","6.3",
"Number of prevalent tuberculosis cases ","Published","2007","Americas","Lower-middle-income","Guyana","1100 [460-1900]","1100","460","1900",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Western Pacific","Lower-middle-income","Vanuatu","124 [58-216]","124","58","216",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2007","Europe","High-income","Israel","0.37 [0.36-0.38]","0.37","0.36","0.38",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Europe","High-income","Italy","8.8 [3.6-16]","8.8","3.6","16",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Africa","Low-income","Gambia","433 [214-727]","433","214","727",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Western Pacific","Low-income","Cambodia","937 [787-1099]","937","787","1099",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Europe","Lower-middle-income","Republic of Moldova","620 [600-640]","620","600","640",
"Number of prevalent tuberculosis cases ","Published","2012","Africa","Lower-middle-income","C?te d'Ivoire","45000 [23000-75000]","45000","23000","75000",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Europe","Upper-middle-income","Latvia","96 [92-99]","96","92","99",
"Number of deaths due to tuberculosis excluding HIV","Published","2007","Africa","Upper-middle-income","Gabon","970 [350-1900]","970","350","1900",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","Western Pacific","Lower-middle-income","Vanuatu","10 [4.5-18]","10","4.5","18",
"Prevalence of tuberculosis (per 100 000 population)","Published","2010","Western Pacific","Lower-middle-income","Kiribati","477 [166-949]","477","166","949",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Americas","Upper-middle-income","Peru","153 [59-292]","153","59","292",
"Number of prevalent tuberculosis cases ","Published","2011","Western Pacific","Upper-middle-income","Tuvalu","17 [5.2-36]","17","5.2","36",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","South-East Asia","Lower-middle-income","Sri Lanka","240 [180-310]","240","180","310",
"Number of prevalent tuberculosis cases ","Published","2010","Western Pacific","Low-income","Niue","0.3 [0.09-0.63]","0.3","0.09","0.63",
"Number of prevalent tuberculosis cases ","Published","2007","South-East Asia","Lower-middle-income","Maldives","260 [120-440]","260","120","440",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Western Pacific","Low-income","Lao People's Democratic Republic","13 [7.8-19]","13","7.8","19",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Americas","Upper-middle-income","Grenada","0.99 [0.95-1]","0.99","0.95","1",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Africa","Low-income","Liberia","1900 [830-3500]","1900","830","3500",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","Africa","Low-income","Uganda","16 [3-40]","16","3","40",
"Number of prevalent tuberculosis cases ","Published","2007","Western Pacific","Lower-middle-income","Kiribati","590 [240-1100]","590","240","1100",
"Prevalence of tuberculosis (per 100 000 population)","Published","2012","Western Pacific","Lower-middle-income","Mongolia","380 [204-608]","380","204","608",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","South-East Asia","Lower-middle-income","Sri Lanka","1.1 [0.84-1.4]","1.1","0.84","1.4",
"Number of prevalent tuberculosis cases ","Published","2009","Western Pacific","Low-income","Cambodia","130000 [110000-160000]","130000","110000","160000",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Americas","Upper-middle-income","Grenada","1 [1-1.1]","1","1","1.1",
"Number of deaths due to tuberculosis excluding HIV","Published","2007","Europe","High-income","Israel","26 [25-27]","26","25","27",
"Number of prevalent tuberculosis cases ","Published","2008","Africa","Low-income","Gambia","6800 [3400-11000]","6800","3400","11000",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Americas","Low-income","Haiti","368 [178-626]","368","178","626",
"Number of deaths due to tuberculosis excluding HIV","Published","2007","Western Pacific","Lower-middle-income","Tonga","2.9 [0.91-6]","2.9","0.91","6",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","Americas","Upper-middle-income","Venezuela (Bolivarian Republic of)","2.4 [1.4-3.8]","2.4","1.4","3.8",
"Number of prevalent tuberculosis cases ","Published","2008","Europe","High-income","Switzerland","710 [290-1300]","710","290","1300",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2007","Americas","Upper-middle-income","Dominica","3.3 [3.3-3.4]","3.3","3.3","3.4",
"Number of prevalent tuberculosis cases ","Published","2007","Eastern Mediterranean","High-income","Bahrain","460 [190-840]","460","190","840",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","Western Pacific","Lower-middle-income","Kiribati","16 [9.3-25]","16","9.3","25",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","Western Pacific","Lower-middle-income","Tonga","2.6 [1-5]","2.6","1","5",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Africa","Low-income","United Republic of Tanzania","6100 [3200-9900]","6100","3200","9900",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Africa","Low-income","Mozambique","552 [91-1418]","552","91","1418",
"Number of prevalent tuberculosis cases ","Published","2007","Western Pacific","Lower-middle-income","Vanuatu","270 [130-470]","270","130","470",
"Number of deaths due to tuberculosis excluding HIV","Published","2007","Americas","Lower-middle-income","Belize","7.9 [7.9-8]","7.9","7.9","8",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Europe","High-income","Luxembourg","2.2 [2.1-2.2]","2.2","2.1","2.2",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Europe","High-income","Luxembourg","0.42 [0.41-0.43]","0.42","0.41","0.43",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Africa","Low-income","Liberia","46 [20-84]","46","20","84",
"Number of deaths due to tuberculosis excluding HIV","Published","2007","Europe","High-income","Denmark","27 [26-28]","27","26","28",
"Number of prevalent tuberculosis cases ","Published","2011","Americas","Upper-middle-income","Uruguay","1200 [560-2100]","1200","560","2100",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Africa","Low-income","Liberia","490 [245-819]","490","245","819",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Western Pacific","Lower-middle-income","Tonga","32 [13-60]","32","13","60",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Africa","Low-income","Guinea-Bissau","26 [8.9-52]","26","8.9","52",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Europe","Upper-middle-income","Bulgaria","2.5 [2.5-2.6]","2.5","2.5","2.6",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2011","Africa","Low-income","Togo","8.6 [3.8-15]","8.6","3.8","15",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Europe","Upper-middle-income","Bulgaria","190 [190-190]","190","190","190",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Americas","High-income","Canada","7.4 [3.4-13]","7.4","3.4","13",
"Number of prevalent tuberculosis cases ","Published","2011","Africa","Low-income","Ethiopia","210000 [170000-260000]","210000","170000","260000",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Western Pacific","Lower-middle-income","Marshall Islands","710 [21-2553]","710","21","2553",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Africa","Low-income","Togo","560 [240-1000]","560","240","1000",
"Number of prevalent tuberculosis cases ","Published","2007","Western Pacific","Lower-middle-income","Marshall Islands","370 [11-1300]","370","11","1300",
"Number of prevalent tuberculosis cases ","Published","2008","Africa","Low-income","Malawi","32000 [15000-55000]","32000","15000","55000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","Europe","Lower-middle-income","Albania","0.38 [0.23-0.58]","0.38","0.23","0.58",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Europe","Low-income","Kyrgyzstan","620 [610-640]","620","610","640",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Africa","Low-income","Guinea-Bissau","400 [140-810]","400","140","810",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Europe","Low-income","Kyrgyzstan","12 [12-12]","12","12","12",
"Number of prevalent tuberculosis cases ","Published","2009","Europe","High-income","Luxembourg","37 [12-76]","37","12","76",
"Number of prevalent tuberculosis cases ","Published","2009","Americas","Upper-middle-income","Grenada","6 [1.7-13]","6","1.7","13",
"Prevalence of tuberculosis (per 100 000 population)","Published","2010","Europe","Upper-middle-income","Romania","158 [69-282]","158","69","282",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Eastern Mediterranean","Lower-middle-income","Djibouti","83 [34-153]","83","34","153",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2007","Europe","High-income","Estonia","4.7 [4.6-4.8]","4.7","4.6","4.8",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Americas","Upper-middle-income","Chile","22 [9.5-40]","22","9.5","40",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Europe","Low-income","Tajikistan","235 [116-395]","235","116","395",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Africa","Upper-middle-income","Namibia","699 [241-1394]","699","241","1394",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Africa","Lower-middle-income","Swaziland","440 [0.25-2300]","440","0.25","2300",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","Americas","Lower-middle-income","Guyana","15 [12-17]","15","12","17",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Americas","Upper-middle-income","Chile","220 [220-230]","220","220","230",
"Number of prevalent tuberculosis cases ","Published","2012","Europe","Upper-middle-income","Russian Federation","170000 [73000-320000]","170000","73000","320000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2011","Africa","Low-income","Gambia","49 [19-92]","49","19","92",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","Americas","Upper-middle-income","Mexico","2.2 [2.1-2.3]","2.2","2.1","2.3",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Western Pacific","High-income","Nauru","4.2 [2.4-6.4]","4.2","2.4","6.4",
"Prevalence of tuberculosis (per 100 000 population)","Published","2010","Europe","Upper-middle-income","Serbia","38 [16-70]","38","16","70",
"Number of deaths due to tuberculosis excluding HIV","Published","2007","Europe","Lower-middle-income","Albania","16 [10-22]","16","10","22",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Africa","Low-income","United Republic of Tanzania","193 [103-311]","193","103","311",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Africa","Low-income","Gambia","840 [330-1600]","840","330","1600",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Americas","Lower-middle-income","Belize","51 [22-92]","51","22","92",
"Number of prevalent tuberculosis cases ","Published","2011","Eastern Mediterranean","Lower-middle-income","Syrian Arab Republic","5500 [2100-10000]","5500","2100","10000",
"Number of prevalent tuberculosis cases ","Published","2012","Africa","Low-income","Burkina Faso","14000 [6900-22000]","14000","6900","22000",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Africa","Low-income","Guinea","2800 [1200-5100]","2800","1200","5100",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","Africa","Low-income","Zimbabwe","31 [0.28-129]","31","0.28","129",
"Number of prevalent tuberculosis cases ","Published","2011","Africa","Lower-middle-income","Angola","90000 [42000-160000]","90000","42000","160000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Europe","Upper-middle-income","Bosnia and Herzegovina","5.2 [4.6-5.8]","5.2","4.6","5.8",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Africa","Lower-middle-income","Sao Tome and Principe","11 [4.3-20]","11","4.3","20",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Africa","Low-income","United Republic of Tanzania","13 [6.8-21]","13","6.8","21",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","Europe","Upper-middle-income","Romania","1400 [1400-1400]","1400","1400","1400",
"Number of prevalent tuberculosis cases ","Published","2008","Europe","High-income","Netherlands","1400 [530-2700]","1400","530","2700",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Europe","High-income","Netherlands","8.5 [3.2-16]","8.5","3.2","16",
"Number of prevalent tuberculosis cases ","Published","2012","Western Pacific","High-income","Singapore","3900 [1900-6600]","3900","1900","6600",
"Number of prevalent tuberculosis cases ","Published","2011","South-East Asia","Low-income","Bangladesh","660000 [340000-1100000]","660000","340000","1100000",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Eastern Mediterranean","Low-income","Afghanistan","11000 [4600-20000]","11000","4600","20000",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Africa","Low-income","Togo","98 [47-167]","98","47","167",
"Prevalence of tuberculosis (per 100 000 population)","Published","2012","Eastern Mediterranean","Low-income","Afghanistan","358 [181-595]","358","181","595",
"Number of prevalent tuberculosis cases ","Published","2008","Africa","Low-income","Togo","5800 [2800-10000]","5800","2800","10000",
"Prevalence of tuberculosis (per 100 000 population)","Published","2012","Africa","Lower-middle-income","C?te d'Ivoire","228 [115-380]","228","115","380",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Americas","Lower-middle-income","Guyana","139 [60-250]","139","60","250",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Africa","Upper-middle-income","Botswana","513 [246-875]","513","246","875",
"Number of prevalent tuberculosis cases ","Published","2011","Europe","Upper-middle-income","Poland","13000 [6200-23000]","13000","6200","23000",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Africa","Lower-middle-income","Angola","447 [209-772]","447","209","772",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","Americas","High-income","Barbados","1.9 [1.9-2]","1.9","1.9","2",
"Number of prevalent tuberculosis cases ","Published","2007","Americas","Upper-middle-income","Saint Kitts and Nevis","8.2 [4.2-14]","8.2","4.2","14",
"Number of prevalent tuberculosis cases ","Published","2008","Europe","High-income","Italy","7200 [3400-12000]","7200","3400","12000",
"Number of prevalent tuberculosis cases ","Published","2009","Europe","High-income","Sweden","1100 [530-1900]","1100","530","1900",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2007","Africa","Low-income","Comoros","7.2 [3.1-13]","7.2","3.1","13",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Africa","Upper-middle-income","Namibia","320 [250-390]","320","250","390",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Africa","Low-income","Democratic Republic of the Congo","35000 [15000-62000]","35000","15000","62000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","Americas","Upper-middle-income","Saint Kitts and Nevis","2.5 [2.3-2.6]","2.5","2.3","2.6",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Europe","Lower-middle-income","Albania","22 [8.8-42]","22","8.8","42",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","Africa","Upper-middle-income","Botswana","24 [6-56]","24","6","56",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Africa","Low-income","Guinea","296 [148-496]","296","148","496",
"Number of prevalent tuberculosis cases ","Published","2012","Americas","Lower-middle-income","Nicaragua","3300 [1100-6700]","3300","1100","6700",
"Number of prevalent tuberculosis cases ","Published","2011","South-East Asia","Low-income","Democratic People's Republic of Korea","120000 [34000-270000]","120000","34000","270000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Western Pacific","Lower-middle-income","China","4.1 [4-4.3]","4.1","4","4.3",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Western Pacific","High-income","Republic of Korea","2400 [190-7500]","2400","190","7500",
"Number of prevalent tuberculosis cases ","Published","2007","Europe","High-income","San Marino","0.54 [0.18-1.1]","0.54","0.18","1.1",
"Prevalence of tuberculosis (per 100 000 population)","Published","2012","Africa","Upper-middle-income","Mauritius","39 [20-65]","39","20","65",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Americas","Lower-middle-income","El Salvador","41 [17-75]","41","17","75",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2011","Americas","Lower-middle-income","El Salvador","1.1 [0.81-1.5]","1.1","0.81","1.5",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Africa","Lower-middle-income","Swaziland","37 [0.02-194]","37","0.02","194",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Eastern Mediterranean","High-income","Kuwait","32 [31-32]","32","31","32",
"Number of prevalent tuberculosis cases ","Published","2009","Africa","Low-income","Liberia","19000 [9400-31000]","19000","9400","31000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Europe","Lower-middle-income","Azerbaijan","4.2 [3.7-4.9]","4.2","3.7","4.9",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Europe","High-income","Monaco","0.03 [0-0.09]","0.03","0","0.09",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","Europe","High-income","Malta","1 [1-1.1]","1","1","1.1",
"Number of prevalent tuberculosis cases ","Published","2009","Europe","High-income","Portugal","3900 [1600-7100]","3900","1600","7100",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2011","Africa","Low-income","Central African Republic","54 [22-99]","54","22","99",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Europe","High-income","Portugal","37 [15-67]","37","15","67",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","South-East Asia","Lower-middle-income","Maldives","2.8 [2.2-3.4]","2.8","2.2","3.4",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","South-East Asia","Low-income","Myanmar","589 [303-967]","589","303","967",
"Number of deaths due to tuberculosis excluding HIV","Published","2007","Eastern Mediterranean","High-income","United Arab Emirates","17 [0-120]","17","0","120",
"Number of deaths due to tuberculosis excluding HIV","Published","2008","Europe","Lower-middle-income","Azerbaijan","380 [330-430]","380","330","430",
"Number of prevalent tuberculosis cases ","Published","2007","South-East Asia","Low-income","Myanmar","300000 [150000-490000]","300000","150000","490000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","Europe","High-income","Malta","0.25 [0.24-0.25]","0.25","0.24","0.25",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2007","Eastern Mediterranean","High-income","United Arab Emirates","0.3 [0-2.1]","0.3","0","2.1",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Europe","Upper-middle-income","Serbia","1.5 [1.3-1.6]","1.5","1.3","1.6",
"Prevalence of tuberculosis (per 100 000 population)","Published","2010","Americas","Lower-middle-income","Guatemala","112 [55-189]","112","55","189",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Western Pacific","Lower-middle-income","Micronesia (Federated States of)","340 [65-838]","340","65","838",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Western Pacific","Upper-middle-income","Palau","106 [46-193]","106","46","193",
"Prevalence of tuberculosis (per 100 000 population)","Published","2012","Europe","High-income","United Kingdom","20 [8.7-36]","20","8.7","36",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Europe","High-income","Ireland","16 [6.8-29]","16","6.8","29",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2007","Europe","Low-income","Tajikistan","12 [8.9-15]","12","8.9","15",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Africa","Low-income","Sierra Leone","1294 [625-2200]","1294","625","2200",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Africa","Low-income","Ghana","2900 [1300-5000]","2900","1300","5000",
"Number of prevalent tuberculosis cases ","Published","2007","Africa","Low-income","Zimbabwe","62000 [9200-160000]","62000","9200","160000",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","Africa","Upper-middle-income","Botswana","480 [120-1100]","480","120","1100",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Africa","Low-income","Ghana","134 [70-217]","134","70","217",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Americas","Upper-middle-income","Mexico","33 [16-55]","33","16","55",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Europe","High-income","Germany","290 [280-290]","290","280","290",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Africa","Upper-middle-income","Algeria","152 [65-274]","152","65","274",
"Number of prevalent tuberculosis cases ","Published","2012","Africa","Upper-middle-income","Mauritius","480 [240-810]","480","240","810",
"Prevalence of tuberculosis (per 100 000 population)","Published","2010","Africa","Low-income","Rwanda","136 [73-219]","136","73","219",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2007","Africa","Lower-middle-income","Cameroon","36 [15-66]","36","15","66",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","South-East Asia","Low-income","Democratic People's Republic of Korea","2500 [2300-2600]","2500","2300","2600",
"Number of prevalent tuberculosis cases ","Published","2008","Europe","High-income","Monaco","1.3 [0.67-2.3]","1.3","0.67","2.3",
"Prevalence of tuberculosis (per 100 000 population)","Published","2012","Europe","High-income","Sweden","9.6 [3.9-18]","9.6","3.9","18",
"Number of deaths due to tuberculosis excluding HIV","Published","2007","Western Pacific","Upper-middle-income","Palau","2 [0.87-3.6]","2","0.87","3.6",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Europe","High-income","United Kingdom","340 [340-340]","340","340","340",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2007","Europe","High-income","Croatia","2.3 [2.3-2.3]","2.3","2.3","2.3",
"Number of prevalent tuberculosis cases ","Published","2008","Africa","Low-income","Central African Republic","32000 [15000-55000]","32000","15000","55000",
"Number of prevalent tuberculosis cases ","Published","2010","Africa","Low-income","Senegal","28000 [14000-47000]","28000","14000","47000",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Africa","Low-income","Eritrea","181 [67-349]","181","67","349",
"Prevalence of tuberculosis (per 100 000 population)","Published","2010","Africa","High-income","Equatorial Guinea","166 [75-294]","166","75","294",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Africa","Low-income","Central African Republic","756 [351-1312]","756","351","1312",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Americas","Upper-middle-income","Argentina","1.6 [1.5-1.7]","1.6","1.5","1.7",
