"DE","Year","Country","CO","Numeric"
"Number of deaths due to tuberculosis excluding HIV","2011","Samoa",,"5.9"
"Prevalence of tuberculosis (per 100 000 population)","2007","Zimbabwe",,"483"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Germany",,"0.35"
"Number of deaths due to tuberculosis excluding HIV","2008","Mozambique",,"12000"
"Number of prevalent tuberculosis cases ","2008","Samoa",,"50"
"Number of deaths due to tuberculosis excluding HIV","2010","Rwanda",,"1300"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Brunei Darussalam",,"2.5"
"Number of deaths due to tuberculosis excluding HIV","2007","Brunei Darussalam",,"9.6"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Republic of Korea",,"5"
"Prevalence of tuberculosis (per 100 000 population)","2008","Monaco",,"3.8"
"Number of prevalent tuberculosis cases ","2007","Guyana",,"1100"
"Prevalence of tuberculosis (per 100 000 population)","2007","Vanuatu",,"124"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Israel",,"0.37"
"Prevalence of tuberculosis (per 100 000 population)","2011","Italy",,"8.8"
"Prevalence of tuberculosis (per 100 000 population)","2008","Gambia",,"433"
"Prevalence of tuberculosis (per 100 000 population)","2009","Cambodia",,"937"
"Number of deaths due to tuberculosis excluding HIV","2009","Republic of Moldova",,"620"
"Number of prevalent tuberculosis cases ","2012","C?te d'Ivoire",,"45000"
"Number of deaths due to tuberculosis excluding HIV","2009","Latvia",,"96"
"Number of deaths due to tuberculosis excluding HIV","2007","Gabon",,"970"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Vanuatu",,"10"
"Prevalence of tuberculosis (per 100 000 population)","2010","Kiribati",,"477"
"Prevalence of tuberculosis (per 100 000 population)","2008","Peru",,"153"
"Number of prevalent tuberculosis cases ","2011","Tuvalu",,"17"
"Number of deaths due to tuberculosis excluding HIV","2012","Sri Lanka",,"240"
"Number of prevalent tuberculosis cases ","2010","Niue",,"0.3"
"Number of prevalent tuberculosis cases ","2007","Maldives",,"260"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Lao People's Democratic Republic",,"13"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Grenada",,"0.99"
"Number of deaths due to tuberculosis excluding HIV","2012","Liberia",,"1900"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Uganda",,"16"
"Number of prevalent tuberculosis cases ","2007","Kiribati",,"590"
"Prevalence of tuberculosis (per 100 000 population)","2012","Mongolia",,"380"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Sri Lanka",,"1.1"
"Number of prevalent tuberculosis cases ","2009","Cambodia",,"130000"
"Number of deaths due to tuberculosis excluding HIV","2012","Grenada",,"1"
"Number of deaths due to tuberculosis excluding HIV","2007","Israel",,"26"
"Number of prevalent tuberculosis cases ","2008","Gambia",,"6800"
"Prevalence of tuberculosis (per 100 000 population)","2007","Haiti",,"368"
"Number of deaths due to tuberculosis excluding HIV","2007","Tonga",,"2.9"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Venezuela (Bolivarian Republic of)",,"2.4"
"Number of prevalent tuberculosis cases ","2008","Switzerland",,"710"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Dominica",,"3.3"
"Number of prevalent tuberculosis cases ","2007","Bahrain",,"460"
"Number of deaths due to tuberculosis excluding HIV","2010","Kiribati",,"16"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Tonga",,"2.6"
"Number of deaths due to tuberculosis excluding HIV","2012","United Republic of Tanzania",,"6100"
"Prevalence of tuberculosis (per 100 000 population)","2008","Mozambique",,"552"
"Number of prevalent tuberculosis cases ","2007","Vanuatu",,"270"
"Number of deaths due to tuberculosis excluding HIV","2007","Belize",,"7.9"
"Number of deaths due to tuberculosis excluding HIV","2012","Luxembourg",,"2.2"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Luxembourg",,"0.42"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Liberia",,"46"
"Number of deaths due to tuberculosis excluding HIV","2007","Denmark",,"27"
"Number of prevalent tuberculosis cases ","2011","Uruguay",,"1200"
"Prevalence of tuberculosis (per 100 000 population)","2009","Liberia",,"490"
"Prevalence of tuberculosis (per 100 000 population)","2007","Tonga",,"32"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Guinea-Bissau",,"26"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Bulgaria",,"2.5"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Togo",,"8.6"
"Number of deaths due to tuberculosis excluding HIV","2009","Bulgaria",,"190"
"Prevalence of tuberculosis (per 100 000 population)","2009","Canada",,"7.4"
"Number of prevalent tuberculosis cases ","2011","Ethiopia",,"210000"
"Prevalence of tuberculosis (per 100 000 population)","2007","Marshall Islands",,"710"
"Number of deaths due to tuberculosis excluding HIV","2011","Togo",,"560"
"Number of prevalent tuberculosis cases ","2007","Marshall Islands",,"370"
"Number of prevalent tuberculosis cases ","2008","Malawi",,"32000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Albania",,"0.38"
"Number of deaths due to tuberculosis excluding HIV","2009","Kyrgyzstan",,"620"
"Number of deaths due to tuberculosis excluding HIV","2009","Guinea-Bissau",,"400"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Kyrgyzstan",,"12"
"Number of prevalent tuberculosis cases ","2009","Luxembourg",,"37"
"Number of prevalent tuberculosis cases ","2009","Grenada",,"6"
"Prevalence of tuberculosis (per 100 000 population)","2010","Romania",,"158"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Djibouti",,"83"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Estonia",,"4.7"
"Prevalence of tuberculosis (per 100 000 population)","2011","Chile",,"22"
"Prevalence of tuberculosis (per 100 000 population)","2009","Tajikistan",,"235"
"Prevalence of tuberculosis (per 100 000 population)","2011","Namibia",,"699"
"Number of deaths due to tuberculosis excluding HIV","2009","Swaziland",,"440"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Guyana",,"15"
"Number of deaths due to tuberculosis excluding HIV","2011","Chile",,"220"
"Number of prevalent tuberculosis cases ","2012","Russian Federation",,"170000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Gambia",,"49"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Mexico",,"2.2"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Nauru",,"4.2"
"Prevalence of tuberculosis (per 100 000 population)","2010","Serbia",,"38"
"Number of deaths due to tuberculosis excluding HIV","2007","Albania",,"16"
"Prevalence of tuberculosis (per 100 000 population)","2009","United Republic of Tanzania",,"193"
"Number of deaths due to tuberculosis excluding HIV","2011","Gambia",,"840"
"Prevalence of tuberculosis (per 100 000 population)","2007","Belize",,"51"
"Number of prevalent tuberculosis cases ","2011","Syrian Arab Republic",,"5500"
"Number of prevalent tuberculosis cases ","2012","Burkina Faso",,"14000"
"Number of deaths due to tuberculosis excluding HIV","2009","Guinea",,"2800"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Zimbabwe",,"31"
"Number of prevalent tuberculosis cases ","2011","Angola",,"90000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Bosnia and Herzegovina",,"5.2"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Sao Tome and Principe",,"11"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","United Republic of Tanzania",,"13"
"Number of deaths due to tuberculosis excluding HIV","2010","Romania",,"1400"
"Number of prevalent tuberculosis cases ","2008","Netherlands",,"1400"
"Prevalence of tuberculosis (per 100 000 population)","2008","Netherlands",,"8.5"
"Number of prevalent tuberculosis cases ","2012","Singapore",,"3900"
"Number of prevalent tuberculosis cases ","2011","Bangladesh",,"660000"
"Number of deaths due to tuberculosis excluding HIV","2012","Afghanistan",,"11000"
"Prevalence of tuberculosis (per 100 000 population)","2008","Togo",,"98"
"Prevalence of tuberculosis (per 100 000 population)","2012","Afghanistan",,"358"
"Number of prevalent tuberculosis cases ","2008","Togo",,"5800"
"Prevalence of tuberculosis (per 100 000 population)","2012","C?te d'Ivoire",,"228"
"Prevalence of tuberculosis (per 100 000 population)","2007","Guyana",,"139"
"Prevalence of tuberculosis (per 100 000 population)","2007","Botswana",,"513"
"Number of prevalent tuberculosis cases ","2011","Poland",,"13000"
"Prevalence of tuberculosis (per 100 000 population)","2011","Angola",,"447"
"Number of deaths due to tuberculosis excluding HIV","2010","Barbados",,"1.9"
"Number of prevalent tuberculosis cases ","2007","Saint Kitts and Nevis",,"8.2"
"Number of prevalent tuberculosis cases ","2008","Italy",,"7200"
"Number of prevalent tuberculosis cases ","2009","Sweden",,"1100"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Comoros",,"7.2"
"Number of deaths due to tuberculosis excluding HIV","2011","Namibia",,"320"
"Number of deaths due to tuberculosis excluding HIV","2011","Democratic Republic of the Congo",,"35000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Saint Kitts and Nevis",,"2.5"
"Prevalence of tuberculosis (per 100 000 population)","2007","Albania",,"22"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Botswana",,"24"
"Prevalence of tuberculosis (per 100 000 population)","2009","Guinea",,"296"
"Number of prevalent tuberculosis cases ","2012","Nicaragua",,"3300"
"Number of prevalent tuberculosis cases ","2011","Democratic People's Republic of Korea",,"120000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","China",,"4.1"
"Number of deaths due to tuberculosis excluding HIV","2009","Republic of Korea",,"2400"
"Number of prevalent tuberculosis cases ","2007","San Marino",,"0.54"
"Prevalence of tuberculosis (per 100 000 population)","2012","Mauritius",,"39"
"Prevalence of tuberculosis (per 100 000 population)","2008","El Salvador",,"41"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","El Salvador",,"1.1"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Swaziland",,"37"
"Number of deaths due to tuberculosis excluding HIV","2009","Kuwait",,"32"
"Number of prevalent tuberculosis cases ","2009","Liberia",,"19000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Azerbaijan",,"4.2"
"Number of deaths due to tuberculosis excluding HIV","2011","Monaco",,"0.03"
"Number of deaths due to tuberculosis excluding HIV","2010","Malta",,"1"
"Number of prevalent tuberculosis cases ","2009","Portugal",,"3900"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Central African Republic",,"54"
"Prevalence of tuberculosis (per 100 000 population)","2009","Portugal",,"37"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Maldives",,"2.8"
"Prevalence of tuberculosis (per 100 000 population)","2007","Myanmar",,"589"
"Number of deaths due to tuberculosis excluding HIV","2007","United Arab Emirates",,"17"
"Number of deaths due to tuberculosis excluding HIV","2008","Azerbaijan",,"380"
"Number of prevalent tuberculosis cases ","2007","Myanmar",,"300000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Malta",,"0.25"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","United Arab Emirates",,"0.3"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Serbia",,"1.5"
"Prevalence of tuberculosis (per 100 000 population)","2010","Guatemala",,"112"
"Prevalence of tuberculosis (per 100 000 population)","2009","Micronesia (Federated States of)",,"340"
"Prevalence of tuberculosis (per 100 000 population)","2007","Palau",,"106"
"Prevalence of tuberculosis (per 100 000 population)","2012","United Kingdom",,"20"
"Prevalence of tuberculosis (per 100 000 population)","2008","Ireland",,"16"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Tajikistan",,"12"
"Prevalence of tuberculosis (per 100 000 population)","2011","Sierra Leone",,"1294"
"Number of deaths due to tuberculosis excluding HIV","2009","Ghana",,"2900"
"Number of prevalent tuberculosis cases ","2007","Zimbabwe",,"62000"
"Number of deaths due to tuberculosis excluding HIV","2010","Botswana",,"480"
"Prevalence of tuberculosis (per 100 000 population)","2009","Ghana",,"134"
"Prevalence of tuberculosis (per 100 000 population)","2007","Mexico",,"33"
"Number of deaths due to tuberculosis excluding HIV","2012","Germany",,"290"
"Prevalence of tuberculosis (per 100 000 population)","2011","Algeria",,"152"
"Number of prevalent tuberculosis cases ","2012","Mauritius",,"480"
"Prevalence of tuberculosis (per 100 000 population)","2010","Rwanda",,"136"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Cameroon",,"36"
"Number of deaths due to tuberculosis excluding HIV","2009","Democratic People's Republic of Korea",,"2500"
"Number of prevalent tuberculosis cases ","2008","Monaco",,"1.3"
"Prevalence of tuberculosis (per 100 000 population)","2012","Sweden",,"9.6"
"Number of deaths due to tuberculosis excluding HIV","2007","Palau",,"2"
"Number of deaths due to tuberculosis excluding HIV","2012","United Kingdom",,"340"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Croatia",,"2.3"
"Number of prevalent tuberculosis cases ","2008","Central African Republic",,"32000"
"Number of prevalent tuberculosis cases ","2010","Senegal",,"28000"
"Prevalence of tuberculosis (per 100 000 population)","2007","Eritrea",,"181"
"Prevalence of tuberculosis (per 100 000 population)","2010","Equatorial Guinea",,"166"
"Prevalence of tuberculosis (per 100 000 population)","2008","Central African Republic",,"756"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Argentina",,"1.6"
"Number of deaths due to tuberculosis excluding HIV","2007","Malaysia",,"1600"
"Number of prevalent tuberculosis cases ","2007","Malta",,"68"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Malaysia",,"5.8"
"Prevalence of tuberculosis (per 100 000 population)","2007","Malta",,"16"
"Number of deaths due to tuberculosis excluding HIV","2009","Lao People's Democratic Republic",,"790"
"Number of deaths due to tuberculosis excluding HIV","2009","Argentina",,"640"
"Number of prevalent tuberculosis cases ","2012","Congo",,"23000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Micronesia (Federated States of)",,"24"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Papua New Guinea",,"54"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Ireland",,"0.43"
"Number of deaths due to tuberculosis excluding HIV","2010","Myanmar",,"26000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Slovenia",,"1.2"
"Number of prevalent tuberculosis cases ","2007","Mexico",,"37000"
"Prevalence of tuberculosis (per 100 000 population)","2008","Ukraine",,"152"
"Prevalence of tuberculosis (per 100 000 population)","2009","Bolivia (Plurinational State of)",,"233"
"Number of deaths due to tuberculosis excluding HIV","2011","Nigeria",,"30000"
"Number of deaths due to tuberculosis excluding HIV","2009","Poland",,"790"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Uzbekistan",,"7"
"Number of prevalent tuberculosis cases ","2008","Ukraine",,"71000"
"Prevalence of tuberculosis (per 100 000 population)","2008","Finland",,"10"
"Prevalence of tuberculosis (per 100 000 population)","2007","Barbados",,"9"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Venezuela (Bolivarian Republic of)",,"2.4"
"Prevalence of tuberculosis (per 100 000 population)","2009","Sri Lanka",,"107"
"Number of deaths due to tuberculosis excluding HIV","2012","Cambodia",,"9300"
"Number of deaths due to tuberculosis excluding HIV","2010","Niue",,"0.02"
"Prevalence of tuberculosis (per 100 000 population)","2008","The former Yugoslav Republic of Macedonia",,"27"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Congo",,"45"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Myanmar",,"60"
"Number of prevalent tuberculosis cases ","2010","San Marino",,"0.62"
"Number of prevalent tuberculosis cases ","2012","Jordan",,"600"
"Prevalence of tuberculosis (per 100 000 population)","2011","Netherlands",,"9.2"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Portugal",,"1.5"
"Prevalence of tuberculosis (per 100 000 population)","2008","Algeria",,"138"
"Number of prevalent tuberculosis cases ","2009","Solomon Islands",,"950"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Micronesia (Federated States of)",,"34"
"Number of prevalent tuberculosis cases ","2010","Vanuatu",,"250"
"Number of deaths due to tuberculosis excluding HIV","2012","Mauritius",,"12"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Latvia",,"4.5"
"Prevalence of tuberculosis (per 100 000 population)","2009","Republic of Moldova",,"249"
"Number of deaths due to tuberculosis excluding HIV","2009","Liberia",,"1900"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Equatorial Guinea",,"0"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Mozambique",,"51"
"Number of prevalent tuberculosis cases ","2008","Peru",,"44000"
"Number of deaths due to tuberculosis excluding HIV","2007","Comoros",,"46"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Peru",,"5.6"
"Number of prevalent tuberculosis cases ","2008","Brazil",,"110000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Saint Vincent and the Grenadines",,"0.86"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Mozambique",,"53"
"Number of deaths due to tuberculosis excluding HIV","2011","Algeria",,"5400"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Saudi Arabia",,"3.9"
"Prevalence of tuberculosis (per 100 000 population)","2007","Cyprus",,"6.2"
"Number of prevalent tuberculosis cases ","2010","Spain",,"10000"
"Number of prevalent tuberculosis cases ","2008","Chile",,"3800"
"Number of deaths due to tuberculosis excluding HIV","2010","Belize",,"13"
"Prevalence of tuberculosis (per 100 000 population)","2009","China",,"112"
"Prevalence of tuberculosis (per 100 000 population)","2012","Grenada",,"6.8"
"Number of deaths due to tuberculosis excluding HIV","2012","Cabo Verde",,"110"
"Prevalence of tuberculosis (per 100 000 population)","2010","Barbados",,"2.8"
"Number of deaths due to tuberculosis excluding HIV","2008","Ukraine",,"10000"
"Prevalence of tuberculosis (per 100 000 population)","2010","Saint Kitts and Nevis",,"5.6"
"Number of prevalent tuberculosis cases ","2008","Uruguay",,"1000"
"Number of prevalent tuberculosis cases ","2011","Somalia",,"56000"
"Prevalence of tuberculosis (per 100 000 population)","2008","Paraguay",,"68"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Turkmenistan",,"16"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","India",,"27"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Malta",,"0.94"
"Prevalence of tuberculosis (per 100 000 population)","2011","Bangladesh",,"435"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Yemen",,"8"
"Number of deaths due to tuberculosis excluding HIV","2012","Canada",,"67"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Togo",,"8.9"
"Prevalence of tuberculosis (per 100 000 population)","2007","Philippines",,"576"
"Number of deaths due to tuberculosis excluding HIV","2012","Libya",,"420"
"Prevalence of tuberculosis (per 100 000 population)","2012","Mauritania",,"794"
"Prevalence of tuberculosis (per 100 000 population)","2007","Denmark",,"11"
"Prevalence of tuberculosis (per 100 000 population)","2011","Uruguay",,"36"
"Number of prevalent tuberculosis cases ","2011","Burundi",,"20000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Sierra Leone",,"139"
"Number of prevalent tuberculosis cases ","2011","South Africa",,"430000"
"Number of deaths due to tuberculosis excluding HIV","2009","Germany",,"280"
"Number of deaths due to tuberculosis excluding HIV","2012","Cuba",,"38"
"Number of deaths due to tuberculosis excluding HIV","2007","Kiribati",,"16"
"Number of deaths due to tuberculosis excluding HIV","2009","Cabo Verde",,"130"
"Prevalence of tuberculosis (per 100 000 population)","2011","Sudan",,"209"
"Number of deaths due to tuberculosis excluding HIV","2010","Tonga",,"2.7"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Chile",,"1.3"
"Prevalence of tuberculosis (per 100 000 population)","2010","Guyana",,"132"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Kiribati",,"17"
"Prevalence of tuberculosis (per 100 000 population)","2008","Samoa",,"27"
"Prevalence of tuberculosis (per 100 000 population)","2010","Bahrain",,"27"
"Number of prevalent tuberculosis cases ","2008","Mozambique",,"130000"
"Prevalence of tuberculosis (per 100 000 population)","2011","Gambia",,"472"
"Number of deaths due to tuberculosis excluding HIV","2012","Burkina Faso",,"1400"
"Prevalence of tuberculosis (per 100 000 population)","2011","Switzerland",,"11"
"Number of prevalent tuberculosis cases ","2012","Papua New Guinea",,"39000"
"Prevalence of tuberculosis (per 100 000 population)","2007","Indonesia",,"336"
"Number of deaths due to tuberculosis excluding HIV","2008","Benin",,"870"
"Number of deaths due to tuberculosis excluding HIV","2010","Senegal",,"2500"
"Prevalence of tuberculosis (per 100 000 population)","2009","Grenada",,"5.7"
"Number of prevalent tuberculosis cases ","2007","Haiti",,"35000"
"Number of prevalent tuberculosis cases ","2009","Kuwait",,"1700"
"Prevalence of tuberculosis (per 100 000 population)","2011","Ethiopia",,"237"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Guinea",,"23"
"Number of prevalent tuberculosis cases ","2009","Kyrgyzstan",,"12000"
"Number of deaths due to tuberculosis excluding HIV","2010","Albania",,"12"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","India",,"33"
"Prevalence of tuberculosis (per 100 000 population)","2010","Maldives",,"51"
"Number of prevalent tuberculosis cases ","2009","Mauritania",,"26000"
"Number of deaths due to tuberculosis excluding HIV","2009","Luxembourg",,"2"
"Number of deaths due to tuberculosis excluding HIV","2008","Sao Tome and Principe",,"18"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Romania",,"6.5"
"Number of deaths due to tuberculosis excluding HIV","2009","Bosnia and Herzegovina",,"200"
"Number of deaths due to tuberculosis excluding HIV","2012","Nicaragua",,"190"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Botswana",,"31"
"Number of prevalent tuberculosis cases ","2009","Cameroon",,"71000"
"Prevalence of tuberculosis (per 100 000 population)","2012","Russian Federation",,"121"
"Prevalence of tuberculosis (per 100 000 population)","2010","Tunisia",,"39"
"Number of prevalent tuberculosis cases ","2009","Afghanistan",,"96000"
"Number of deaths due to tuberculosis excluding HIV","2011","Benin",,"910"
"Number of prevalent tuberculosis cases ","2011","Andorra",,"7"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Chad",,"21"
"Number of prevalent tuberculosis cases ","2011","Japan",,"35000"
"Number of deaths due to tuberculosis excluding HIV","2007","Dominica",,"2.4"
"Prevalence of tuberculosis (per 100 000 population)","2010","Marshall Islands",,"903"
"Number of deaths due to tuberculosis excluding HIV","2010","Denmark",,"35"
"Number of prevalent tuberculosis cases ","2007","Iraq",,"21000"
"Prevalence of tuberculosis (per 100 000 population)","2010","Iraq",,"78"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Solomon Islands",,"15"
"Number of prevalent tuberculosis cases ","2007","Romania",,"41000"
"Number of prevalent tuberculosis cases ","2010","Lebanon",,"830"
"Prevalence of tuberculosis (per 100 000 population)","2011","Malawi",,"156"
"Number of prevalent tuberculosis cases ","2012","Afghanistan",,"110000"
"Prevalence of tuberculosis (per 100 000 population)","2007","Rwanda",,"175"
"Prevalence of tuberculosis (per 100 000 population)","2009","Republic of Korea",,"155"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Monaco",,"0.16"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Kuwait",,"0.94"
"Number of deaths due to tuberculosis excluding HIV","2009","Cambodia",,"10000"
"Prevalence of tuberculosis (per 100 000 population)","2007","Niue",,"10"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Latvia",,"2.6"
"Prevalence of tuberculosis (per 100 000 population)","2011","Uzbekistan",,"183"
"Number of deaths due to tuberculosis excluding HIV","2009","Austria",,"41"
"Prevalence of tuberculosis (per 100 000 population)","2012","Sri Lanka",,"109"
"Number of prevalent tuberculosis cases ","2008","Angola",,"68000"
"Prevalence of tuberculosis (per 100 000 population)","2011","Kenya",,"305"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","United Republic of Tanzania",,"14"
"Prevalence of tuberculosis (per 100 000 population)","2007","Armenia",,"114"
"Number of prevalent tuberculosis cases ","2007","Honduras",,"6700"
"Prevalence of tuberculosis (per 100 000 population)","2009","Sweden",,"12"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Brunei Darussalam",,"3"
"Number of deaths due to tuberculosis excluding HIV","2007","Mexico",,"2400"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Zimbabwe",,"32"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Kyrgyzstan",,"9.5"
"Prevalence of tuberculosis (per 100 000 population)","2008","Democratic Republic of the Congo",,"549"
"Number of prevalent tuberculosis cases ","2009","Guinea",,"31000"
"Number of prevalent tuberculosis cases ","2011","Belarus",,"10000"
